lemma	docs	occurrences
крахмальный	601.0	941.0
котел	2702.0	7512.0
шушукаться	370.0	478.0
отвесно	323.0	453.0
очищение	1386.0	2536.0
перекинуть	1500.0	2244.0
отрабатывать	852.0	1147.0
занимать	13809.0	36365.0
злостный	928.0	1261.0
всяческий	5033.0	10380.0
шлагбаум	500.0	879.0
медленный	10854.0	46408.0
апеллировать	613.0	831.0
переиначить	273.0	309.0
самоконтроль	190.0	289.0
недалеко	5214.0	11974.0
узкий	56261.0	664192.0
отрицательный	5883.0	12858.0
раскат	1022.0	1617.0
блинчик	195.0	384.0
выдумывать	1771.0	2775.0
заглатывать	277.0	348.0
толстенный	457.0	587.0
скоросшиватель	48.0	66.0
малоэффективный	230.0	250.0
ошалело	256.0	336.0
французский	12636.0	50526.0
чернозем	560.0	981.0
натопить	580.0	799.0
телец	1127.0	1874.0
распространяться	4707.0	8040.0
язычок	806.0	1155.0
княжеский	1005.0	4447.0
воссоздание	570.0	840.0
стекать	1472.0	2295.0
меткий	2330.0	3790.0
эскадрон	679.0	3761.0
обормот	149.0	227.0
пирушка	544.0	843.0
упереться	2286.0	4147.0
запрудить	755.0	996.0
грудной	2109.0	4105.0
разрыв	4267.0	9510.0
платный	1157.0	1994.0
поставлять	2438.0	3454.0
прилет	388.0	710.0
копирка	160.0	216.0
крутануть	212.0	287.0
японец	2646.0	13285.0
протрезветь	399.0	495.0
нерезидент	94.0	185.0
навыкате	350.0	447.0
травиться	133.0	152.0
отловить	196.0	258.0
выпрашивать	753.0	928.0
биология	1641.0	3836.0
шепелявить	223.0	273.0
явить	1817.0	3260.0
накипь	278.0	428.0
выкупать	571.0	740.0
мерцание	589.0	782.0
успокоение	1723.0	2765.0
великодушный	2060.0	4046.0
оповестить	743.0	1024.0
выплеснуться	345.0	403.0
климакс	66.0	146.0
дурочка	841.0	1609.0
разменять	634.0	902.0
бурят	298.0	854.0
стихание	3.0	4.0
пансион	949.0	3026.0
приходить	16630.0	70936.0
кочегарка	161.0	378.0
мутация	433.0	1721.0
ясновидение	250.0	407.0
наравне	1802.0	2633.0
донашивать	192.0	222.0
северо-запад	1026.0	1802.0
достать	7524.0	28572.0
холостяцкий	290.0	364.0
венчик	505.0	829.0
перевозчик	500.0	1090.0
плечистый	613.0	826.0
грач	578.0	1391.0
бодрствование	262.0	553.0
вразвалку	195.0	226.0
обливаться	1408.0	2092.0
тирания	534.0	900.0
заморочить	244.0	301.0
приватный	499.0	860.0
живописец	1608.0	3787.0
множественность	371.0	883.0
пярну	55.0	157.0
мерцать	2191.0	3947.0
подветренный	146.0	209.0
колотить	1552.0	2664.0
чулок	2409.0	5564.0
нежелание	1869.0	2538.0
социалист	1619.0	5290.0
пыжиться	240.0	298.0
потупиться	878.0	1684.0
горючий	1833.0	3939.0
иррациональный	581.0	1204.0
атеросклероз	156.0	255.0
хранилище	1030.0	1708.0
физически	2993.0	4863.0
краеведческий	373.0	658.0
дозиметрист	11.0	20.0
отметить	14285.0	30643.0
спец	773.0	1461.0
локомотив	902.0	2205.0
разразиться	2390.0	3813.0
прочесать	143.0	166.0
раздуть	1294.0	1740.0
переметнуться	241.0	293.0
пропащий	455.0	673.0
смекалка	396.0	478.0
сургучный	188.0	242.0
превышение	919.0	1321.0
смягчаться	541.0	659.0
утихомирить	235.0	274.0
сосед	8961.0	30583.0
показуха	193.0	235.0
оказаться	30755.0	136153.0
