lemma	docs	occurrences
потчевать	758.0	1263.0
анекдотический	375.0	483.0
шанс	5158.0	9556.0
опознать	988.0	1654.0
вместительный	474.0	576.0
епархия	1075.0	3336.0
прикрытие	1712.0	3988.0
гиблый	500.0	624.0
вносить	5040.0	8335.0
ампутировать	314.0	420.0
тампон	212.0	388.0
откликаться	1458.0	2065.0
гомосексуализм	154.0	368.0
галоша	603.0	1251.0
лошаденка	511.0	907.0
стоматология	92.0	117.0
притомиться	236.0	321.0
грядущий	3339.0	5866.0
пехотный	1289.0	5323.0
обвинительный	905.0	2225.0
стеклянный	4356.0	10493.0
замуровать	399.0	543.0
подконтрольный	334.0	399.0
кровельный	258.0	396.0
сырье	2725.0	6209.0
бутылка	6458.0	27640.0
мазанка	300.0	708.0
строгий	13676.0	46776.0
ощущение	8176.0	27338.0
занервничать	182.0	235.0
ремарка	368.0	592.0
увлекаться	3582.0	6822.0
пятак	907.0	1946.0
нравоучение	586.0	890.0
рождать	1929.0	3048.0
простонать	876.0	1509.0
убийца	3971.0	11584.0
суть	10707.0	27619.0
ноздреватый	283.0	350.0
разглаживать	472.0	580.0
испачкаться	125.0	135.0
выругаться	1049.0	2009.0
спросонья	595.0	742.0
набережная	2973.0	7838.0
располагающий	617.0	707.0
индюк	345.0	563.0
гнойник	97.0	115.0
решка	138.0	233.0
доставить	7545.0	17798.0
исполнять	6961.0	16376.0
опилка	689.0	1154.0
шоссе	3139.0	8997.0
кг	2170.0	6610.0
сигаретка	280.0	455.0
незапертый	333.0	394.0
сокровенный	1810.0	2987.0
дедовщина	184.0	341.0
телеграмма	9860.0	22753.0
инфраструктура	1676.0	3155.0
прогреметь	879.0	1139.0
сгущать	272.0	320.0
кейс	208.0	643.0
культ	2078.0	5344.0
съедать	1575.0	2252.0
исключить	5805.0	9955.0
чахоточный	545.0	859.0
разбавлять	346.0	428.0
эрудиция	738.0	1053.0
костный	472.0	983.0
пристраститься	611.0	743.0
новоселье	654.0	1026.0
запутаться	2168.0	3343.0
раскапывать	288.0	362.0
промокашка	150.0	220.0
копь	1757.0	3030.0
коверкать	439.0	522.0
встречный	4031.0	7725.0
кустарь	385.0	843.0
внешне	3008.0	5267.0
скандальчик	78.0	93.0
склока	432.0	611.0
предметный	880.0	3086.0
чий	66.0	145.0
увд	421.0	786.0
изысканность	437.0	534.0
фитиль	702.0	1337.0
болотистый	742.0	1535.0
углубленный	1067.0	1444.0
счастливо	3118.0	5629.0
придача	854.0	1161.0
панк	312.0	924.0
подхлестывать	200.0	228.0
прибалтика	809.0	1392.0
ежедневно	5684.0	11690.0
рема	153.0	721.0
успешный	10203.0	17928.0
бигуди	109.0	204.0
раствориться	1811.0	2749.0
взойти	3041.0	6175.0
насквозь	3051.0	5483.0
явочный	227.0	338.0
осмотр	3070.0	6762.0
рампа	473.0	831.0
адаптация	837.0	1690.0
стрелок	3868.0	10768.0
чересчур	2559.0	5346.0
горбун	496.0	2038.0
психиатрический	800.0	2010.0
обнаженный	2774.0	5450.0
выковать	343.0	430.0
тащиться	1260.0	2049.0
обязательный	13358.0	35420.0
лечебница	775.0	1376.0
выветриться	418.0	497.0
трепетно	608.0	734.0
белгород	317.0	585.0
добросовестность	729.0	974.0
продажный	1083.0	1589.0
увертюра	431.0	698.0
швабра	420.0	741.0
скорчиться	520.0	697.0
уклонист	92.0	144.0
глуховато	101.0	120.0
подмосковье	1288.0	1879.0
проволочный	1036.0	1762.0
отвратный	178.0	253.0
куда	19998.0	110722.0
скрытность	450.0	640.0
пристроенный	182.0	190.0
ломота	316.0	396.0
единение	1594.0	2993.0
стена	14399.0	90959.0
свистеть	2207.0	4166.0
примерять	641.0	765.0
лямка	818.0	1234.0
соблюдаться	1132.0	1488.0
елозить	264.0	347.0
дознание	806.0	1491.0
видовой	435.0	884.0
обезуметь	1384.0	2096.0
протыкать	200.0	239.0
западня	674.0	1044.0
похмелье	1040.0	1639.0
курировать	703.0	921.0
прага	1495.0	4151.0
сивушный	120.0	154.0
паровой	1537.0	3026.0
оттопыриваться	123.0	140.0
стоимость	7007.0	15179.0
ветровый	389.0	643.0
представить	21086.0	66534.0
ледниковый	507.0	2497.0
липовый	1048.0	1665.0
ярд	184.0	314.0
колесико	682.0	1053.0
воссоздать	990.0	1287.0
почетно	224.0	248.0
раж	262.0	323.0
приукрашивать	122.0	132.0
выбрать	11539.0	27494.0
пестрый	3675.0	8872.0
рай	3674.0	10704.0
рига	2153.0	5249.0
дотянуть	955.0	1280.0
шутливый	1956.0	3929.0
аристократический	1490.0	2837.0
глагол	1454.0	5620.0
побеспокоить	326.0	384.0
обыкновенно	4798.0	19120.0
прелестный	3012.0	9090.0
закутать	1313.0	2103.0
отойти	8657.0	28369.0
формироваться	2983.0	5025.0
почитать	5588.0	14807.0
попытаться	6913.0	16230.0
съехать	1406.0	2392.0
катать	1172.0	1891.0
стаж	1425.0	2241.0
тесниться	1323.0	2123.0
вышеприведенный	636.0	947.0
спрячь	302.0	397.0
прожить	7496.0	20137.0
связист	326.0	763.0
казарменный	545.0	867.0
гениальный	4102.0	9547.0
прямоугольный	846.0	1517.0
хромосома	239.0	1450.0
взбодрить	256.0	308.0
проливной	821.0	1116.0
садить	858.0	1917.0
балтика	550.0	1096.0
вешать	2186.0	3721.0
тумба	714.0	1557.0
кондратьевна	1.0	7.0
обнять	3907.0	12124.0
колбаска	372.0	545.0
конвульсия	389.0	512.0
кончина	2717.0	6729.0
общественность	3404.0	6141.0
гульнуть	92.0	101.0
бесчеловечный	1030.0	1427.0
лычко	126.0	171.0
жукова	622.0	1599.0
просвещение	3625.0	10193.0
сожжение	585.0	916.0
мясницкий	453.0	842.0
супостат	378.0	625.0
ипподром	390.0	1074.0
дешевый	8514.0	18003.0
коснуться	4863.0	9499.0
пристрелять	99.0	178.0
байковый	526.0	932.0
двусмысленность	459.0	679.0
правый	28383.0	175081.0
гарнитура	293.0	453.0
рядить	464.0	600.0
несмотря	17395.0	54699.0
опознание	311.0	526.0
втихомолку	612.0	869.0
присутствие	9477.0	25301.0
внушение	1281.0	3519.0
вблизи	4101.0	7747.0
гулящий	329.0	601.0
наковальня	391.0	566.0
щетинистый	309.0	399.0
вакцина	359.0	2352.0
мастерски	988.0	1284.0
фортепьяно	440.0	942.0
показаться	11850.0	55030.0
чалма	520.0	1297.0
подвесить	1409.0	2037.0
рентгенологический	35.0	46.0
восьмеро	159.0	190.0
валять	1374.0	2464.0
штатский	1432.0	3578.0
накрапывать	460.0	572.0
основательный	3587.0	6597.0
полпред	430.0	929.0
недозволенный	352.0	432.0
гнус	190.0	483.0
крик	8183.0	32813.0
совковый	213.0	290.0
пломбир	100.0	176.0
окучивать	159.0	187.0
охранный	1243.0	2533.0
мокро	495.0	694.0
заплевать	380.0	461.0
физрук	84.0	228.0
трутень	136.0	304.0
тропический	1449.0	2965.0
заклятый	577.0	768.0
панцирный	140.0	188.0
воеводин	74.0	296.0
пышный	3887.0	8620.0
фауна	681.0	1401.0
ориентир	1226.0	1981.0
размножаться	1009.0	1607.0
крепчать	394.0	507.0
зарядка	661.0	1119.0
отгородиться	439.0	520.0
переливчатый	315.0	392.0
доверчивость	721.0	969.0
неизменно	3328.0	6271.0
огурец	2228.0	5340.0
еврейка	710.0	1500.0
сапожный	668.0	1014.0
сев	1617.0	3832.0
рацион	679.0	1092.0
промахнуться	1011.0	1483.0
любимчик	237.0	333.0
покамест	758.0	1941.0
сталкиваться	3735.0	5710.0
плоский	4206.0	9638.0
низко	12518.0	35307.0
фотоснимок	349.0	478.0
мерзлый	919.0	1664.0
любопытство	5174.0	15354.0
диетический	290.0	397.0
шлепнуть	575.0	864.0
статный	1041.0	1635.0
каменистый	1270.0	2553.0
символический	2044.0	4378.0
покровск	219.0	380.0
медсанбат	113.0	404.0
тол	253.0	641.0
безденежье	490.0	625.0
проиграть	3635.0	7377.0
рекламный	2380.0	5142.0
груздь	274.0	459.0
побороться	382.0	427.0
сапер	590.0	1827.0
стихия	3268.0	7728.0
галл	319.0	824.0
умножаться	539.0	823.0
положиться	1339.0	1988.0
ленный	79.0	121.0
обвальный	180.0	221.0
табачок	371.0	625.0
поручаться	561.0	750.0
отхлебнуть	482.0	745.0
мосгорсуд	80.0	139.0
наболтать	199.0	234.0
возразить	4293.0	15861.0
каунас	105.0	206.0
конкретный	9528.0	24433.0
выселок	202.0	628.0
исчерпываться	975.0	1390.0
давить	3905.0	7982.0
асфальтовый	711.0	1051.0
сандвич	101.0	190.0
дефективный	109.0	207.0
баня	3740.0	12630.0
дог	267.0	586.0
насосаться	106.0	117.0
туманно	776.0	996.0
прислонить	865.0	1193.0
засвидетельствовать	1338.0	1950.0
вряд	8222.0	17137.0
соучастие	593.0	881.0
навсегда	8014.0	21886.0
глушь	1620.0	2731.0
характер	16718.0	66724.0
годок	491.0	738.0
бюллетень	1137.0	2219.0
режиссер	4224.0	17658.0
скульптор	1508.0	3210.0
отважиться	903.0	1265.0
буксир	718.0	1605.0
охранка	260.0	610.0
Анкара	95.0	159.0
морячок	159.0	363.0
стартер	171.0	241.0
дисциплинированный	707.0	944.0
поскучнеть	119.0	132.0
поволочь	734.0	1118.0
рекомендоваться	1667.0	2536.0
усаживать	773.0	980.0
совнарком	476.0	1201.0
несбыточный	890.0	1099.0
убийство	6918.0	22178.0
эстрада	1523.0	3741.0
скарб	690.0	933.0
возобновление	1241.0	2100.0
баста	532.0	767.0
лесенка	922.0	1632.0
боевой	6975.0	31968.0
ставка	4332.0	11818.0
чистить	2811.0	5253.0
ответственно	537.0	632.0
стереть	2357.0	3765.0
захлопнуть	1620.0	2852.0
индивидуальный	5390.0	13760.0
массажист	146.0	255.0
расправляться	784.0	963.0
чиркнуть	594.0	856.0
притвориться	1085.0	1577.0
обмахивать	176.0	210.0
заиндевелый	197.0	273.0
прикол	398.0	662.0
жир	2606.0	6276.0
методический	1427.0	2607.0
организованно	355.0	429.0
гардероб	1048.0	1567.0
шкипер	223.0	558.0
топот	1603.0	3089.0
тюк	826.0	1674.0
цветок	10249.0	42373.0
мах	1327.0	2325.0
белизна	1454.0	2391.0
олений	685.0	1753.0
препятствие	5015.0	9964.0
гулкий	1877.0	3913.0
ухать	532.0	752.0
уплатить	1852.0	3170.0
закудахтать	113.0	131.0
мехмат	79.0	156.0
галера	343.0	1146.0
выдох	563.0	1287.0
лохмотья	1306.0	2132.0
одурачить	390.0	487.0
салютовать	293.0	421.0
потешать	292.0	378.0
интервью	3463.0	7176.0
душа	19794.0	162085.0
моложавый	640.0	859.0
молоточек	377.0	546.0
врываться	1748.0	2599.0
нетрезвый	848.0	1113.0
надворный	544.0	1001.0
вынюхивать	191.0	238.0
эпизод	4384.0	11792.0
ряженый	348.0	531.0
мастерица	621.0	1131.0
украдкой	1299.0	2252.0
популярный	6181.0	10101.0
таиться	2410.0	4242.0
добро	7868.0	29507.0
помирать	1358.0	2584.0
ахти	455.0	660.0
передничек	121.0	135.0
разгрузить	420.0	540.0
попеть	350.0	463.0
справа	4036.0	10269.0
сверло	258.0	411.0
бивень	194.0	487.0
вылить	1834.0	2667.0
огромный	20788.0	87748.0
припай	51.0	117.0
релиз	63.0	82.0
твориться	2900.0	5226.0
завернуться	768.0	1026.0
ранее	8385.0	16096.0
лакей	2185.0	9955.0
молиться	5018.0	18653.0
отключать	436.0	602.0
прение	1424.0	3119.0
незащищенный	422.0	479.0
присмотреть	793.0	1062.0
захрипеть	455.0	627.0
прясть	934.0	1386.0
чаинка	59.0	76.0
высматривать	1118.0	1658.0
протока	513.0	1972.0
младенчик	94.0	150.0
отклониться	521.0	653.0
шалость	1126.0	1997.0
народиться	704.0	932.0
красть	1350.0	2295.0
кобель	605.0	1334.0
почесать	1228.0	2022.0
свободно	6882.0	14721.0
важнейший	6123.0	11465.0
дешифровка	76.0	126.0
гейша	134.0	419.0
кресало	72.0	114.0
непрерывность	469.0	783.0
патогенез	106.0	231.0
комический	1677.0	3646.0
спрессовать	316.0	377.0
бювар	102.0	171.0
вологодский	855.0	1721.0
честолюбец	290.0	393.0
витрина	2026.0	4165.0
сонный	3290.0	7569.0
нынче	4298.0	15818.0
таблеточка	53.0	76.0
перевести	8176.0	21552.0
точка	17559.0	62179.0
западный	10608.0	34466.0
срываться	2112.0	3372.0
сохранение	5921.0	10869.0
струхнуть	245.0	284.0
арестантский	826.0	1822.0
заколдованный	881.0	1223.0
убыть	710.0	1029.0
угонщик	112.0	246.0
наползать	333.0	411.0
базель	207.0	428.0
гендиректор	704.0	1156.0
огневик	20.0	44.0
барометр	564.0	1199.0
воротник	2809.0	6810.0
вставляться	441.0	554.0
грозить	6589.0	14555.0
координатор	333.0	439.0
первичный	2430.0	6245.0
экскурс	372.0	450.0
кнехт	72.0	151.0
взимать	510.0	679.0
условность	1154.0	1916.0
ослабеть	1927.0	3127.0
углекислый	651.0	1508.0
сажень	2133.0	8398.0
беззвучно	1523.0	2729.0
ладога	276.0	898.0
покарать	500.0	711.0
женить	1993.0	12302.0
самооборона	433.0	680.0
месть	2604.0	5540.0
пользоваться	15154.0	42882.0
чистосердечный	1028.0	1618.0
глумление	412.0	523.0
воплощаться	631.0	845.0
зареветь	1182.0	2023.0
моторный	948.0	1733.0
терроризм	1211.0	2927.0
фехтование	284.0	531.0
хапать	117.0	161.0
зоотехника	149.0	313.0
вследствие	7121.0	20339.0
смешение	1488.0	2738.0
казак	3730.0	33377.0
подтянутый	859.0	1230.0
уголовный	4557.0	14407.0
притиснуть	310.0	398.0
вышагивать	433.0	625.0
роскошь	3498.0	7408.0
вьюк	241.0	1046.0
прибрать	1697.0	2854.0
потопать	285.0	363.0
почуять	1485.0	2550.0
ритуал	1474.0	2942.0
чудачество	398.0	556.0
умилиться	347.0	435.0
поглядеть	3936.0	15571.0
кампус	79.0	169.0
легочный	293.0	891.0
рецензия	1589.0	3906.0
полтавский	853.0	1631.0
домишко	978.0	1631.0
упор	2899.0	5225.0
километровый	447.0	629.0
певчий	1079.0	2719.0
сектант	554.0	1095.0
заплаканный	1002.0	1434.0
воистину	1588.0	2757.0
изощряться	376.0	433.0
усовершенствовать	1546.0	2082.0
подействовать	2297.0	4136.0
манить	2419.0	8022.0
седеть	847.0	1259.0
влево	2375.0	5247.0
вклад	3740.0	7275.0
измышление	501.0	657.0
армейский	2207.0	6147.0
плимутрок	9.0	42.0
наказуемый	336.0	420.0
бром	288.0	665.0
почистить	934.0	1201.0
размахнуться	809.0	1162.0
бесшумно	1613.0	3141.0
дорожка	4193.0	10683.0
сгорбить	686.0	983.0
убого	247.0	283.0
чародейка	91.0	130.0
мышеловка	381.0	570.0
спроектировать	616.0	776.0
баронский	131.0	210.0
поклон	3485.0	9643.0
притерпеться	226.0	268.0
тезис	2216.0	4512.0
крупнейший	5698.0	9273.0
управитель	556.0	1577.0
причалить	555.0	800.0
налипнуть	329.0	390.0
желаемый	1920.0	2664.0
неуютный	1206.0	1778.0
калека	1114.0	1884.0
аконит	31.0	150.0
набегаться	247.0	274.0
приспособление	2296.0	4445.0
просчитаться	272.0	332.0
прощупываться	124.0	140.0
лебединый	705.0	1041.0
подлить	483.0	567.0
сурьма	141.0	319.0
вилы	783.0	1596.0
опережать	1559.0	2122.0
скворец	666.0	1986.0
рукоприкладство	210.0	257.0
послушный	3044.0	6038.0
перепечатать	697.0	966.0
интернированный	83.0	124.0
детально	1140.0	1425.0
угождать	741.0	1124.0
практикант	241.0	406.0
щелкнуть	1874.0	3995.0
периодический	3451.0	6106.0
блокадный	240.0	510.0
пешеход	1291.0	2178.0
нанести	6061.0	11331.0
потакать	494.0	610.0
бесплодный	2607.0	4932.0
мозговой	1020.0	2359.0
оптика	727.0	1217.0
энергоснабжение	165.0	271.0
балконный	340.0	501.0
восторженно	1920.0	3224.0
жила	11936.0	54243.0
пугливый	1238.0	2048.0
кавалерия	1143.0	3710.0
упереть	649.0	926.0
колок	277.0	495.0
сбой	824.0	1222.0
саркофаг	339.0	692.0
ученический	797.0	1280.0
ау	462.0	769.0
рыночный	2916.0	5901.0
прибрежный	1658.0	3168.0
фальсифицировать	250.0	359.0
древнерусский	670.0	1726.0
грохот	3038.0	7415.0
накладываться	547.0	678.0
пролететь	2600.0	4320.0
цитата	2657.0	5657.0
набиваться	524.0	625.0
монтре	54.0	104.0
портупея	305.0	514.0
бороздка	201.0	320.0
этиловый	189.0	436.0
свирепость	424.0	562.0
адвокат	2966.0	10486.0
бал	2853.0	10483.0
перебранка	485.0	641.0
дождичек	310.0	406.0
экономия	3218.0	5841.0
Азия	4163.0	11009.0
толпиться	2392.0	4589.0
подъехать	3002.0	7677.0
изумлять	597.0	750.0
обиталище	471.0	640.0
сахар	4818.0	15260.0
елка	2190.0	6860.0
слезать	1164.0	1757.0
выпускник	1773.0	3326.0
книжица	335.0	507.0
увлечь	3442.0	5975.0
шезлонг	231.0	390.0
лопата	2328.0	5778.0
смоделировать	190.0	208.0
утомительный	1681.0	2515.0
волшебство	906.0	1403.0
вдеть	289.0	329.0
тоника	94.0	311.0
пересчитать	1267.0	1680.0
пунцовый	697.0	1154.0
уф	527.0	958.0
подработать	231.0	315.0
синдром	736.0	1519.0
лучиться	347.0	436.0
кровища	127.0	177.0
эйфория	539.0	735.0
чад	1919.0	3246.0
стерня	123.0	205.0
досягаемость	247.0	315.0
убор	1366.0	2283.0
живописать	391.0	475.0
наледь	184.0	293.0
рубиться	262.0	380.0
непрозрачный	492.0	659.0
сравнительный	6354.0	14337.0
глухарь	370.0	1359.0
замуж	4671.0	14498.0
столяр	940.0	2354.0
джокер	62.0	114.0
затушить	336.0	404.0
составляться	1584.0	2422.0
штрек	81.0	273.0
знаться	462.0	603.0
просо	422.0	854.0
коминтерн	452.0	1420.0
переубедить	439.0	525.0
вагонетка	224.0	448.0
ответственность	8950.0	21445.0
бензовоз	59.0	98.0
порушить	328.0	438.0
кандидатура	1601.0	2968.0
вы	36658.0	1052206.0
соединяться	2656.0	5011.0
кретин	459.0	773.0
повергнуть	1046.0	1393.0
сосуществование	554.0	860.0
покрыть	8033.0	24710.0
равняться	2068.0	3318.0
вал	3185.0	8362.0
брюхатый	194.0	262.0
панкреатит	52.0	70.0
прокрасться	546.0	687.0
омут	998.0	1849.0
взваливать	332.0	391.0
малов	61.0	150.0
залепить	552.0	699.0
аскетический	596.0	1302.0
лисий	820.0	1492.0
гемолитический	18.0	41.0
миновать	4519.0	10225.0
украинский	3092.0	10505.0
заверещать	298.0	390.0
постоянный	20149.0	67657.0
подразделение	3117.0	8801.0
поганец	187.0	265.0
переродиться	564.0	703.0
сальце	93.0	114.0
стыдиться	2720.0	5535.0
мотоцикл	1179.0	3125.0
вызволить	437.0	610.0
ширпотреб	274.0	332.0
кружок	6217.0	21157.0
заупрямиться	362.0	431.0
этика	1391.0	3539.0
укутать	718.0	953.0
одновременно	12615.0	30786.0
округлить	592.0	1482.0
техника	10653.0	29009.0
ноутбук	281.0	586.0
отклик	2081.0	3170.0
водянка	204.0	278.0
ускоряться	484.0	569.0
городовой	2068.0	6015.0
накликать	351.0	445.0
оглушительный	1806.0	3048.0
секция	1856.0	4785.0
диалектика	922.0	2367.0
заворчать	434.0	587.0
постыдно	420.0	503.0
дворянский	2523.0	7109.0
постоялый	2400.0	5922.0
вящий	555.0	740.0
ртр	233.0	361.0
лата	833.0	1572.0
девчонка	2996.0	10515.0
легковой	1043.0	1652.0
прыщавый	225.0	348.0
речь	20138.0	89674.0
зачмокать	104.0	120.0
продержать	843.0	1108.0
люб	1325.0	5456.0
растапливать	217.0	257.0
узкоколейка	161.0	327.0
прогрессировать	678.0	847.0
умиротворять	311.0	359.0
присматривать	830.0	1102.0
нашатырный	274.0	421.0
автолавка	35.0	79.0
балдахин	366.0	582.0
перекидывать	387.0	448.0
перепечатка	317.0	420.0
по-русски	3987.0	10468.0
прыгать	4345.0	11331.0
сиделец	364.0	664.0
озвучить	781.0	897.0
дуля	409.0	595.0
санитар	962.0	2645.0
кузьмина	396.0	818.0
ликвидация	2695.0	5419.0
джинн	185.0	446.0
фургон	591.0	1662.0
сыновний	589.0	785.0
импортный	1419.0	2324.0
будто	16890.0	135041.0
гофрированный	269.0	326.0
перчатка	2939.0	7230.0
подельник	216.0	350.0
антураж	359.0	426.0
утроить	290.0	308.0
свидетельствовать	8218.0	16943.0
клиент	3952.0	12587.0
сушиться	587.0	741.0
прослеживать	273.0	313.0
отчаянье	765.0	1447.0
славиться	2011.0	3381.0
спасенье	471.0	670.0
раздосадовать	536.0	679.0
прохладительный	274.0	352.0
выпрямлять	249.0	308.0
маргарит	1076.0	5601.0
корректно	573.0	681.0
фольклорный	545.0	1118.0
облучение	402.0	775.0
шашлычный	187.0	346.0
федерация	5434.0	26363.0
налогообложение	729.0	1640.0
беспощадность	316.0	396.0
осмотрительность	372.0	465.0
пестрить	488.0	568.0
жандарм	1597.0	6502.0
пыльно	274.0	311.0
ржать	1747.0	3454.0
пророческий	1099.0	1748.0
сцепление	899.0	1455.0
жаровня	358.0	552.0
ничтожество	1563.0	2721.0
сума	798.0	1585.0
повесть	5003.0	19096.0
оплачивать	1684.0	2308.0
развернуть	4947.0	9779.0
жираф	332.0	651.0
прощальный	1890.0	3140.0
геройский	1000.0	1491.0
колонка	1269.0	2335.0
сброд	562.0	788.0
вдуматься	1009.0	1356.0
моделирование	829.0	2128.0
разламывать	223.0	248.0
клясться	2819.0	7332.0
венский	1335.0	2470.0
присоединять	681.0	861.0
заманчивый	1937.0	2826.0
ерундовый	95.0	110.0
залог	2921.0	5395.0
струйка	1526.0	2695.0
непрекращающийся	478.0	555.0
паладин	65.0	124.0
тумак	260.0	330.0
скачка	1719.0	3015.0
совкий	406.0	622.0
качели	894.0	1617.0
тесто	2560.0	6154.0
чуткость	834.0	1177.0
клавиатура	564.0	943.0
украшать	3203.0	5149.0
жердочка	252.0	372.0
отпарировать	187.0	230.0
брестский	472.0	755.0
антресоль	389.0	674.0
по-испански	201.0	313.0
коммуникация	1506.0	3144.0
яблоко	4410.0	12204.0
прыщик	205.0	352.0
орденский	338.0	609.0
раскрутка	274.0	328.0
бронхиальный	140.0	213.0
индивидуум	759.0	1532.0
привередливый	228.0	247.0
сяк	466.0	582.0
столько	15045.0	49862.0
коготок	239.0	312.0
уценить	79.0	95.0
ломкий	1071.0	1458.0
вороненый	216.0	279.0
пулевой	234.0	325.0
пристрастный	837.0	1137.0
короста	266.0	329.0
монограмма	177.0	240.0
убавиться	263.0	299.0
сдирать	617.0	769.0
уничтожаться	1020.0	1385.0
кустарник	2257.0	5290.0
соотноситься	531.0	786.0
скат	1067.0	2624.0
хрен	1574.0	4112.0
поубивать	176.0	219.0
сумбурный	550.0	710.0
золоченый	1090.0	2000.0
провиснуть	173.0	225.0
просиживать	986.0	1343.0
начинаться	12612.0	34126.0
фикция	529.0	859.0
пакость	897.0	1406.0
интернат	616.0	1545.0
выручать	1490.0	2222.0
латунный	331.0	531.0
дама	9201.0	46766.0
свинарник	178.0	296.0
ленточка	1193.0	1915.0
вибрировать	554.0	771.0
разгильдяйство	231.0	295.0
суматошный	324.0	438.0
подхватиться	92.0	122.0
потемнеть	2148.0	3844.0
обшарить	468.0	589.0
разминировать	68.0	96.0
подвальчик	168.0	242.0
мускулистый	866.0	1259.0
виснуть	428.0	581.0
сценарий	3051.0	8897.0
безобразно	758.0	1009.0
мишин	370.0	1608.0
пролом	437.0	702.0
махина	506.0	724.0
дубняк	145.0	241.0
таец	10.0	22.0
стимул	1462.0	2222.0
меркурий	558.0	1698.0
капитан	5237.0	41284.0
погостить	803.0	1183.0
различие	4966.0	14379.0
цапля	359.0	829.0
мга	1483.0	2938.0
чайник	2294.0	5855.0
магистратура	101.0	197.0
возиться	3441.0	7376.0
пырей	110.0	152.0
одиноко	1976.0	3109.0
преграждать	601.0	769.0
пристраивать	336.0	379.0
отогреваться	202.0	223.0
деготь	1010.0	1735.0
аполитичный	207.0	263.0
сметать	1286.0	1975.0
гарнитур	318.0	502.0
укладка	672.0	1189.0
кумекать	98.0	116.0
визитер	346.0	518.0
луковица	651.0	1269.0
козырной	209.0	258.0
ложбина	354.0	601.0
ханкала	59.0	139.0
дородный	618.0	960.0
пленум	969.0	4183.0
распластать	569.0	730.0
модерн	595.0	1019.0
убедительно	2936.0	4251.0
привычный	7098.0	16728.0
отупение	276.0	319.0
присказка	433.0	546.0
блюсти	1041.0	1508.0
поцелуй	3443.0	9771.0
спускать	2596.0	5075.0
мановение	540.0	664.0
доведение	435.0	539.0
клеветнический	306.0	498.0
разбежаться	46.0	59.0
вспомогательный	1592.0	2633.0
шквальный	131.0	154.0
подслушать	1145.0	1763.0
принести	13612.0	50435.0
испытать	6529.0	15125.0
контактировать	270.0	347.0
соединительный	412.0	830.0
круп	1575.0	2933.0
расстановка	1222.0	1698.0
волк	4677.0	16619.0
иначе	15931.0	54828.0
российско	925.0	1864.0
кедрач	58.0	132.0
исследователь	5126.0	11913.0
мусорщик	121.0	215.0
крест	7079.0	26873.0
разминка	285.0	424.0
стужа	997.0	1915.0
мирить	410.0	656.0
весьма	18141.0	73195.0
взмыть	493.0	711.0
экстрасистола	11.0	27.0
локализоваться	99.0	143.0
лео	174.0	670.0
ненароком	762.0	1114.0
вырезка	770.0	1309.0
социолог	986.0	1841.0
рывок	1459.0	2657.0
расколотить	153.0	172.0
прошуршать	150.0	176.0
солить	495.0	701.0
покушение	2604.0	5742.0
смирный	2492.0	5407.0
ступать	3617.0	11492.0
предположение	5296.0	12607.0
замухрышка	101.0	124.0
школьный	5340.0	14560.0
пробегать	2278.0	3695.0
балдеть	183.0	253.0
евро	1283.0	3035.0
омерзение	699.0	1002.0
изувер	251.0	401.0
компрессор	368.0	1005.0
жиденький	627.0	853.0
мореходный	224.0	386.0
зодчество	502.0	922.0
убыточный	630.0	774.0
что-нибудь	10582.0	52140.0
ворошить	507.0	636.0
невольный	6850.0	23379.0
целина	747.0	1564.0
раздел	4098.0	8912.0
приобщаться	614.0	923.0
отчитывать	378.0	478.0
дебри	1019.0	1548.0
пережидать	405.0	516.0
накрыться	598.0	775.0
дореволюционный	1478.0	2524.0
жестяной	1482.0	2573.0
побегушки	267.0	305.0
разрядный	184.0	400.0
честный	10901.0	37898.0
отгрызть	132.0	163.0
виновность	634.0	1091.0
фотографировать	976.0	1507.0
детский	11590.0	43148.0
проводница	260.0	579.0
панель	1722.0	4048.0
поболтать	1086.0	1604.0
производство	13584.0	50029.0
утомлять	1161.0	1550.0
записка	6659.0	27635.0
обнадежить	522.0	689.0
педагогика	649.0	1991.0
многотиражка	117.0	171.0
компьютер	3315.0	9547.0
незыблемый	1276.0	1791.0
смущаться	1994.0	3229.0
утвердиться	1807.0	2741.0
импорт	991.0	2279.0
безуглов	21.0	71.0
нотка	1074.0	1699.0
опять	17116.0	146215.0
пышно	879.0	1190.0
посылка	2480.0	5526.0
СПИД	515.0	1492.0
составной	1915.0	3253.0
богемский	178.0	344.0
мыслишка	278.0	363.0
дрессировка	249.0	355.0
вождь	4271.0	13555.0
кок	626.0	1987.0
эгоистический	782.0	1202.0
обнаружиться	3141.0	5408.0
подсчитывать	867.0	1093.0
книжонка	334.0	452.0
вырастить	2817.0	4074.0
аладдин	52.0	96.0
шофер	2404.0	9362.0
спать	11729.0	84833.0
изумленный	2115.0	3924.0
перемалывать	251.0	292.0
уральский	1889.0	4204.0
странный	15155.0	79788.0
пруд	3104.0	9191.0
влечь	3542.0	6879.0
подняться	10549.0	48100.0
хваткий	730.0	1054.0
поддаваться	4046.0	6643.0
надпочечник	98.0	248.0
перегружать	269.0	298.0
помучить	208.0	239.0
дядя	5113.0	42855.0
взволновать	3844.0	9220.0
самка	959.0	4432.0
размер	14356.0	39273.0
прирезать	233.0	303.0
оторопь	407.0	526.0
зоосад	69.0	113.0
